Id,SalePrice
2658,133080.53645219762
2718,165714.92703452613
2414,198253.27109594093
1989,104071.17504782681
625,169627.51102474952
333,96060.71913608564
1327,107561.66303581248
858,148811.13369342117
95,188042.01286953414
1568,167674.44262313948
2482,152692.5228015534
1364,116433.16749416392
2584,146186.20520008737
818,302323.41917752824
2673,153512.77698838818
2089,121804.30720928803
1297,142174.30456613147
790,112964.55379959634
2616,201346.46441193056
720,179150.14498412082
222,155318.04905876316
557,135400.36778123362
1148,185669.46137556073
2766,157319.72283615632
534,183115.46289373032
1452,125078.62116363105
630,122214.54070850417
2648,105681.45134294158
125,157812.73767632133
1904,72329.9356862637
1670,112074.34525921481
756,89132.04227165603
717,193896.37032146257
1032,152422.7187668245
852,200956.0357466267
1731,174992.0001368689
2639,110011.90735453629
2071,90707.27038069534
1267,122073.84376694946
1851,192317.8492121482
567,159127.6944943063
2439,204336.32892400085
1898,149936.72937923964
647,169477.5421218238
2256,224018.9973351332
979,101814.42483596006
1444,212333.38820413046
2485,123202.77662455723
157,133094.80357058745
88,125040.05972326166
2003,106757.71978207205
186,194183.89413305745
1425,238727.34981380418
2695,114170.26302169646
738,108025.18723913541
395,159790.98061591937
1353,163587.86461358896
1878,143708.94992767982
390,152330.30145584946
1456,234291.06258468961
1103,325098.39754610014
1387,119859.17524200883
2070,136277.56053465046
1199,174198.5563632282
2479,167676.26452376816
501,288470.4193769352
2362,97293.62625909124
1718,210008.8366393724
2188,91068.35503476023
1483,151669.05444318993
2557,89311.99915708596
437,396958.71256719396
2224,187245.89075995455
1628,169508.05000294515
397,146648.4831472617
587,178237.23714198274
2182,929947.074347831
971,135025.2673601769
2611,147145.90873507355
1887,103259.29633911487
2399,354483.7340965071
2148,197181.59805853796
304,102253.4933051906
1997,126968.10971348853
2817,117909.2376391055
1431,189301.18485310604
427,333669.20552014327
263,126441.11042307435
598,156562.56184690061
2895,229939.58395779316
687,148983.45534583105
1822,138800.4274424617
2191,104461.90580703158
179,125826.90027270332
1009,226477.07622624046
2010,132874.39927608095
1991,140026.56260054302
1411,151066.29395502323
1721,243033.09611451437
1144,182905.67141399713
593,215019.01053242048
575,321511.5850562346
1249,169829.20475664324
1604,125518.7347849732
1064,525566.8624539123
1923,160267.4604754479
1988,118413.2182112231
2325,169058.517732389
114,191053.11901761458
2700,168843.33363784163
217,127141.1653556249
343,173987.42520912757
386,234823.31312689738
2005,119220.31680651843
2908,138719.03033251394
1814,225165.57491316597
2446,593528.2377103316
208,142655.21486006578
1679,111229.08648705132
822,312106.1027855051
6,195723.91528799865
1781,397668.2126222785
2397,272084.40776346874
2340,331996.7440686099
1618,169721.80415255215
2843,122857.30999216116
1061,394897.0184441944
2786,129450.13770902701
1935,136207.93258094412
1341,123272.12441536086
521,268554.73535668605
2136,134562.48380290295
996,195436.83626803645
227,144605.6751948409
135,176780.40199660504
1167,175894.51131671507
294,235321.85363741565
1776,206075.86116344674
540,170293.7501807119
1717,207178.98238998489
2303,137253.0416659582
116,179565.96503725727
127,125067.69031970642
1371,122927.0589982009
1014,140011.51989916695
1507,110944.30129294848
702,125279.25322894279
750,139534.3217693897
261,164522.17648170382
1559,78460.93741217584
577,198745.04533205382
2812,192406.33201064798
2080,151770.61767299357
1368,117261.63654576462
2376,124400.52776787122
659,108192.56896082648
1235,136749.9397734646
332,84066.61425073977
1917,141323.63447950923
2094,238267.03659277208
1460,252997.08676313344
1471,209396.39968988302
1509,121116.44700713729
1922,132963.14346658258
433,586588.5225053956
460,256748.10048091316
1116,242853.73942677947
1137,170171.6105208611
53,171411.32429717603
2354,272168.8923572017
1475,188939.28518455013
1761,770961.3103970574
842,145521.68923072293
2739,162065.5457216961
2509,163840.31037509395
1007,201427.76418227877
2610,178702.43023236396
1952,86980.87226977691
2719,163719.4540827774
2921,91548.98364927844
1966,134772.79549274844
292,107248.77071251639
1204,187209.2352897339
1829,240996.28469414733
2419,181154.8382543728
391,147579.94538644404
798,108529.19689597965
481,200923.54745935753
193,187225.8487642131
555,115706.7190322452
899,68368.96164668107
2357,169132.65467132416
328,122610.07914187558
1356,122748.27206493731
1154,112581.54959631295
1730,174262.1332889184
2249,154779.4262470865
1119,275747.73570923525
2856,129086.33760432986
1394,136858.08685390928
2587,140410.9154845278
61,315022.66578536597
2661,170338.35554803835
2711,134190.0741225454
1147,175641.328403268
757,130308.4231950517
2623,90834.00571651585
2378,142315.3037837636
1413,147023.5389532489
1722,225117.3299351474
1112,218894.08651749493
1623,198355.97735688926
1201,173972.0665447842
1513,108446.28178720063
957,416413.05507210107
1171,265662.10201908427
1145,188072.89889126454
2726,232515.87625022288
703,149224.96520485697
760,90120.41608953333
1964,141183.15534825032
2512,187605.67601238086
159,136379.1336502493
1281,163013.76799462122
468,172839.07883472272
290,122212.8857039246
665,97165.52441101093
1463,257295.1501043511
1792,220835.20290883232
923,147434.74625352432
500,254476.09176641237
1408,164617.32920628748
331,89471.32047299514
170,114914.10841700091
2192,97347.36073271619
2571,274586.67715692194
2314,173948.22030721925
2647,97671.36093401418
422,473135.3624657788
2457,390389.54087903263
1838,201164.12812208114
2805,237107.23743038453
1645,151869.92193612256
1711,301689.00312933914
2825,239510.23059452572
322,315653.1180813369
2103,243350.39506028537
342,119228.7352154854
600,125502.06224045531
488,187304.9914312087
1725,298361.93955913157
2246,277541.433487166
2847,151846.57766321805
806,236195.02367429077
530,236403.4079832686
963,188266.06264759225
2678,95484.7967835405
171,96791.36041286062
2401,460274.192743253
805,220480.05286076138
2259,236310.20435971455
1748,186040.55969520163
1361,129853.17990026044
1677,119941.77727259872
1406,135525.15129212732
2322,225638.37517975262
688,150899.36446486186
143,142862.25181375915
804,205935.3698633816
1214,155180.36263175047
2828,149428.60381480126
1999,169790.3729913045
2467,190696.17255220813
2665,153434.92338307985
1538,439193.7281190605
398,120802.60826684104
2822,127584.03742867104
2157,148497.69252218874
1856,192414.9047407941
1269,102475.29822493825
2570,120257.16679097958
2320,230421.87970473076
1517,136603.26462607872
2304,119987.72535688862
1312,100976.71603902642
2012,138968.78835652323
506,247158.39963858755
2865,231294.6188498875
2367,108183.72261798444
554,83875.86587590916
238,131224.74925906208
1954,120919.44843359024
2488,139415.06887721326
2291,85665.88060046137
1969,105396.4997113549
2725,169825.61951718153
1482,151669.05444318993
2763,185228.50887366937
503,256426.6081746614
1584,247365.3387916409
1531,136475.92775900007
2210,166431.6171415371
459,336317.63285506
556,132303.98121558866
1347,132746.8349985771
1290,81586.06146268286
1388,99181.18486719443
1571,324042.79278854805
2754,190239.15853539275
765,124675.80196392314
2494,127780.41389196362
2870,236861.51039487365
7,239654.1121709513
1114,251906.09697214296
2418,264231.2136885693
291,132222.58501017024
18,329704.8882742035
39,381268.80123420403
1001,275405.1166593059
2442,224593.5592596583
616,114790.09926011584
2680,74443.72360919739
1414,130464.70501302027
289,134549.6463324752
40,248196.55023379275
860,126020.51323098471
409,137875.09732459186
673,155680.38916883527
2427,168982.41407898767
2036,204411.35912471096
2564,144838.69746223578
642,144118.55476205418
1008,179649.9271756764
1908,135624.04545220156
2519,198252.88449382808
1369,94212.05242533637
2855,172084.25591032847
712,101137.23606462365
1943,104829.09916014387
1958,127165.08531724031
107,156722.8569287271
2295,202822.1715662222
704,92853.79035609834
676,135324.70582887967
259,179967.52906089535
93,295956.1808334732
106,248431.89360360175
2315,180404.75902743253
1050,111157.98345034951
1095,206949.2558309124
2709,142778.02693859863
758,128621.22613904988
1496,154237.17454668376
2370,132301.7795143766
2458,285272.5356831729
2733,131634.97922476174
161,302535.7985094111
726,143827.87292105964
845,204698.83633910012
947,250857.4414424322
2232,105343.36510887704
2563,156436.80995770515
2299,126416.28372334612
211,91579.69955739277
605,155740.55401918892
1478,196500.7562027624
2247,283493.70210213633
2274,177764.61793701432
2869,226298.589586864
967,215745.08345392332
2656,124246.23239164813
667,195160.16182744026
1042,120338.4684569371
2023,151519.5003263805
2447,399238.75197208265
2055,125037.09840119934
2275,266309.88331787655
2204,178294.3012176583
1563,285018.1907021024
483,230700.29729200932
796,129628.48826777101
1526,170491.06428541153
2042,119141.67654904864
442,353800.5238054483
1693,323849.51786672784
1468,220922.54954274363
1430,191279.94561513688
2605,133434.36542041533
1529,205540.36066992595
335,141951.6360069946
